问卷编号,A1_性别,A2_年龄段,A3_学历,A4_职业,A5_月收入,A6_所在城市级别,B1_最常用平台,B2_每日使用时长,B3_主要登录时间段,F1_Q1_每天使用时间很长,F1_Q2_难以减少使用时间,F1_Q3_随时随地查看社媒,F1_Q4_不用感到焦虑不适,F1_Q5_占据大量空闲时间,F1_Q6_优先浏览再做其他事,F2_Q1_经常点赞收藏,F2_Q2_主动评论发表看法,F2_Q3_经常分享优质内容,F2_Q4_关注追踪创作者,F2_Q5_发布原创内容,F2_Q6_参与活动话题讨论,F3_Q1_推荐内容符合兴趣,F3_Q2_推荐多样性满意,F3_Q3_精准捕捉兴趣变化,F3_Q4_对推荐算法整体满意,F3_Q5_极少推荐不感兴趣内容,F3_Q6_发现新优质内容,F4_Q1_担心过度收集数据,F4_Q2_主动调整隐私权限,F4_Q3_平台数据使用不透明,F4_Q4_担心精准广告推送,F4_Q5_了解隐私法律法规,F4_Q6_因隐私顾虑减少使用,F5_Q1_内容质量整体满意,F5_Q2_有效过滤低质内容,F5_Q3_内容原创性创新性高,F5_Q4_内容信息真实性有保障,F5_Q5_内容深度价值感满意,F5_Q6_比其他平台内容质量更优,C1_信息茧房感知,C2_平台总体满意度
Q0270,女,33-37岁,本科,政府/事业单位,3000-6000元,三线城市,微信,2-3小时,晚上(20-23点),3,1,3,3,4,4,2,4,3,3,4,4,3,2,1,2,3,1,3,3,2,3,4,3,4,4,4,2,3,3,总是感觉,一般
Q0271,男,33-37岁,本科,学生,6000-10000元,一线城市,微信,1-2小时,深夜(23点以后),3,3,4,4,1,3,4,3,4,4,3,3,2,3,3,2,3,3,3,3,4,3,3,4,3,4,4,4,3,3,偶尔感觉,一般
Q0272,女,28-32岁,本科,其他,20000元以上,一线城市,微信,1-2小时,晚上(20-23点),4,2,3,4,3,4,3,1,2,1,2,3,3,4,1,3,3,3,3,3,3,5,3,4,4,3,4,3,5,5,很少感觉,满意
Q0273,男,23-27岁,本科,自由职业者,3000元以下,新一线城市,小红书,30分钟以内,上午(9-12点),3,3,3,1,1,2,3,1,2,1,2,1,2,3,2,1,3,4,5,4,3,5,4,2,4,3,4,3,4,3,很少感觉,一般
Q0274,女,18-22岁,本科,个体经营者,20000元以上,二线城市,抖音,2-3小时,傍晚(18-20点),3,4,2,3,1,3,2,2,2,3,3,3,3,3,3,4,3,4,1,1,3,2,2,4,2,2,2,1,3,2,偶尔感觉,一般
Q0275,男,23-27岁,本科,其他,10000-20000元,三线城市,小红书,4小时以上,晚上(20-23点),5,5,4,5,4,5,3,4,5,3,3,3,4,3,4,5,4,4,4,3,5,4,3,2,2,3,3,2,2,3,经常感觉,满意
Q0276,女,28-32岁,本科,企业职员,3000-6000元,三线城市,微博,1-2小时,中午(12-14点),4,2,4,4,2,2,4,3,4,5,4,5,3,3,3,3,4,2,3,2,4,3,5,5,2,4,2,3,3,5,很少感觉,一般
Q0277,男,48岁以上,硕士,学生,6000-10000元,二线城市,小红书,30-60分钟,晚上(20-23点),2,1,2,2,4,2,3,3,5,3,3,2,2,2,1,2,1,3,3,3,4,5,3,4,2,2,3,3,3,3,经常感觉,不满意
Q0278,男,28-32岁,本科,企业职员,10000-20000元,二线城市,微博,2-3小时,傍晚(18-20点),4,4,2,4,2,4,5,3,2,5,2,3,3,3,3,4,4,3,2,1,1,3,2,1,3,3,3,3,3,3,偶尔感觉,满意
Q0279,女,23-27岁,本科,自由职业者,6000-10000元,二线城市,抖音,1-2小时,下午(14-18点),3,5,3,3,4,3,3,3,2,2,2,4,2,3,5,2,3,2,3,3,3,2,5,2,3,3,3,2,4,4,经常感觉,一般
Q0280,女,43-47岁,本科,个体经营者,6000-10000元,二线城市,微信,30-60分钟,下午(14-18点),1,2,3,3,1,1,4,4,3,4,4,3,3,3,4,5,2,3,2,3,2,1,4,2,3,3,4,4,3,5,很少感觉,满意
Q0281,男,23-27岁,高中及以下,企业职员,10000-20000元,一线城市,微信视频号,30-60分钟,晚上(20-23点),1,4,3,2,2,3,3,2,3,3,3,4,2,4,3,3,2,1,4,3,4,5,5,5,4,4,3,5,3,3,偶尔感觉,满意
Q0282,女,18-22岁,本科,学生,6000-10000元,一线城市,抖音,1-2小时,傍晚(18-20点),2,4,1,3,2,3,1,1,2,2,2,2,3,2,3,4,3,4,5,5,5,5,5,4,4,3,3,4,4,4,很少感觉,满意
Q0283,女,23-27岁,本科,学生,6000-10000元,一线城市,抖音,1-2小时,深夜(23点以后),3,3,3,3,3,3,3,3,3,5,5,3,3,4,1,3,2,3,4,4,4,5,4,3,3,2,3,3,3,2,偶尔感觉,一般
Q0284,男,18-22岁,本科,教师/科研,10000-20000元,新一线城市,微信视频号,30-60分钟,傍晚(18-20点),2,2,2,2,2,2,3,2,2,4,3,3,3,4,5,4,5,4,3,4,4,3,4,4,2,3,2,2,2,5,很少感觉,满意
Q0285,男,48岁以上,硕士,个体经营者,20000元以上,一线城市,微信视频号,2-3小时,下午(14-18点),5,3,3,4,5,2,2,3,5,3,1,3,2,3,3,3,3,3,5,5,4,4,5,4,2,3,1,3,2,4,偶尔感觉,一般
Q0286,女,48岁以上,本科,学生,3000-6000元,三线城市,微信视频号,1-2小时,晚上(20-23点),3,3,3,3,2,3,4,3,4,1,3,4,2,3,3,4,3,4,3,3,4,5,3,4,3,3,2,3,5,3,偶尔感觉,满意
Q0287,女,23-27岁,硕士,企业职员,10000-20000元,一线城市,微信,1-2小时,晚上(20-23点),4,3,4,4,4,2,4,3,3,5,4,3,5,3,3,4,4,2,4,5,3,3,4,3,4,2,3,4,3,3,从不感觉,非常满意
Q0288,男,18-22岁,本科,学生,10000-20000元,一线城市,B站,1-2小时,深夜(23点以后),3,2,2,3,3,3,1,1,1,2,2,1,3,5,3,4,3,4,1,3,3,2,2,2,3,4,3,3,3,3,很少感觉,非常满意
Q0289,男,48岁以上,本科,企业职员,3000-6000元,四线及以下城市,微博,2-3小时,上午(9-12点),3,3,4,3,3,3,3,3,1,2,5,3,2,3,2,3,4,2,4,4,3,3,4,3,3,2,4,3,4,3,偶尔感觉,满意
Q0290,女,43-47岁,高中及以下,教师/科研,6000-10000元,一线城市,微信,30分钟以内,中午(12-14点),1,2,2,1,1,2,2,3,3,4,3,5,3,4,3,2,2,3,5,4,3,4,3,4,4,3,3,3,3,1,偶尔感觉,一般
Q0291,男,28-32岁,本科,教师/科研,3000-6000元,一线城市,抖音,3-4小时,深夜(23点以后),3,3,3,3,1,4,5,4,5,4,4,3,4,5,3,5,3,4,3,3,3,2,4,3,3,3,3,3,3,2,很少感觉,一般
Q0292,女,33-37岁,硕士,企业职员,20000元以上,三线城市,快手,2-3小时,中午(12-14点),5,3,3,4,3,4,1,2,2,2,2,2,3,4,3,5,2,3,3,3,5,5,3,3,3,5,2,2,3,3,总是感觉,不满意
Q0293,男,23-27岁,本科,学生,20000元以上,三线城市,B站,30-60分钟,上午(9-12点),3,3,3,3,1,3,4,3,4,4,5,4,5,4,4,5,3,5,3,5,3,5,5,3,3,5,3,3,2,3,从不感觉,满意
Q0294,女,33-37岁,本科,学生,10000-20000元,一线城市,抖音,30-60分钟,上午(9-12点),3,2,3,2,3,2,2,3,5,1,2,1,2,2,3,5,1,2,4,4,4,4,4,4,2,4,2,4,3,2,经常感觉,不满意
Q0295,女,33-37岁,本科,企业职员,3000-6000元,一线城市,B站,30分钟以内,上午(9-12点),1,3,1,1,3,1,3,3,3,2,3,2,2,3,2,5,1,1,2,3,2,3,3,2,2,3,3,3,3,1,很少感觉,非常不满意
Q0296,男,33-37岁,高中及以下,企业职员,10000-20000元,二线城市,抖音,1-2小时,晚上(20-23点),2,3,3,4,2,3,1,1,2,1,2,2,3,3,3,3,2,3,5,4,4,5,4,3,3,5,3,3,4,3,很少感觉,一般
Q0297,男,33-37岁,高中及以下,其他,3000元以下,四线及以下城市,微信,1-2小时,晚上(20-23点),1,2,2,3,3,3,1,2,1,1,1,1,3,2,4,2,3,3,4,2,1,3,2,3,3,2,1,2,3,3,总是感觉,一般
Q0298,女,33-37岁,本科,企业职员,3000-6000元,二线城市,微博,2-3小时,晚上(20-23点),3,5,3,3,3,1,2,2,1,3,3,3,2,3,3,3,1,3,4,3,1,3,4,5,1,4,5,3,4,3,总是感觉,一般
Q0299,女,18-22岁,本科,自由职业者,6000-10000元,一线城市,微信,30分钟以内,中午(12-14点),1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,3,4,5,4,3,3,2,1,1,2,2,1,2,很少感觉,非常不满意
Q0300,女,43-47岁,本科,企业职员,10000-20000元,新一线城市,快手,30分钟以内,中午(12-14点),1,2,1,2,1,1,3,3,4,3,1,5,2,2,2,3,3,1,3,3,2,4,3,4,3,3,3,1,3,2,很少感觉,不满意
Q0301,男,28-32岁,本科,学生,3000元以下,二线城市,微信,4小时以上,晚上(20-23点),4,3,5,3,3,4,1,3,3,4,2,1,1,3,3,1,2,3,3,2,2,2,3,3,3,2,1,1,3,1,总是感觉,不满意
Q0302,男,23-27岁,本科,企业职员,3000-6000元,一线城市,微信,3-4小时,下午(14-18点),4,4,3,3,3,4,2,3,4,3,4,3,4,4,3,5,5,4,3,2,3,3,2,3,2,5,4,2,2,5,很少感觉,非常满意
Q0303,女,18-22岁,高中及以下,企业职员,6000-10000元,四线及以下城市,小红书,2-3小时,晚上(20-23点),3,3,2,3,2,3,3,4,2,3,2,3,4,3,3,3,3,2,2,4,2,2,2,4,2,1,1,2,1,3,总是感觉,一般
Q0304,女,18-22岁,本科,学生,6000-10000元,一线城市,B站,30-60分钟,早晨(6-9点),1,4,3,3,3,2,3,2,1,3,3,1,2,1,3,3,2,1,3,5,3,4,3,4,2,2,1,3,2,3,经常感觉,非常不满意
Q0305,女,18-22岁,硕士,学生,3000-6000元,二线城市,抖音,1-2小时,傍晚(18-20点),4,2,4,1,2,3,2,1,1,1,1,1,1,2,3,3,3,1,2,4,2,3,3,1,2,1,2,2,2,2,很少感觉,非常不满意
Q0306,女,18-22岁,大专,其他,6000-10000元,一线城市,小红书,4小时以上,中午(12-14点),5,5,4,5,5,4,4,5,3,3,3,4,3,4,5,3,5,5,3,3,3,3,3,3,4,4,3,4,2,4,经常感觉,非常满意
Q0307,男,28-32岁,本科,企业职员,3000-6000元,一线城市,小红书,1-2小时,晚上(20-23点),2,3,4,3,2,3,3,3,3,3,3,5,5,3,2,3,3,4,2,3,3,3,2,1,1,1,2,3,2,1,偶尔感觉,不满意
Q0308,女,43-47岁,本科,企业职员,3000-6000元,一线城市,B站,2-3小时,中午(12-14点),1,3,1,3,4,2,1,2,2,3,3,2,2,2,2,4,3,3,3,3,5,3,3,3,2,4,1,2,3,1,偶尔感觉,不满意
Q0309,女,48岁以上,本科,其他,3000-6000元,二线城市,微信,1-2小时,中午(12-14点),1,2,2,3,1,2,5,2,4,3,3,4,3,2,4,3,3,4,2,1,3,4,2,3,1,1,1,2,1,2,偶尔感觉,不满意
Q0310,女,23-27岁,本科,企业职员,3000-6000元,一线城市,B站,30分钟以内,上午(9-12点),1,3,1,1,1,1,3,2,2,1,1,2,4,3,3,3,3,2,3,4,3,3,3,4,3,4,3,3,5,2,偶尔感觉,一般
Q0311,男,23-27岁,本科,其他,3000元以下,二线城市,抖音,2-3小时,傍晚(18-20点),3,4,5,2,5,2,5,3,3,4,3,4,3,4,3,5,3,3,1,3,2,3,2,3,4,5,5,4,3,5,从不感觉,满意
Q0312,女,48岁以上,本科,政府/事业单位,6000-10000元,新一线城市,微博,4小时以上,深夜(23点以后),5,5,4,5,5,3,4,4,5,3,2,5,5,5,4,5,4,5,3,3,3,3,2,4,5,4,4,4,4,5,很少感觉,非常满意
Q0313,男,23-27岁,本科,企业职员,10000-20000元,三线城市,微信,1-2小时,傍晚(18-20点),3,2,2,3,1,3,5,4,3,4,2,4,3,4,5,3,3,5,1,3,3,3,1,1,3,4,2,3,3,3,从不感觉,非常满意
Q0314,女,28-32岁,硕士,学生,无收入,二线城市,快手,30-60分钟,深夜(23点以后),3,3,3,1,1,1,2,3,1,3,3,2,2,3,2,2,3,2,3,5,4,4,5,4,3,3,4,3,4,4,偶尔感觉,一般
Q0315,女,28-32岁,本科,企业职员,无收入,四线及以下城市,小红书,2-3小时,深夜(23点以后),4,1,4,2,4,3,4,5,5,4,3,4,4,3,2,3,3,3,3,2,4,3,2,3,5,5,4,3,4,4,经常感觉,满意
Q0316,女,18-22岁,硕士,自由职业者,3000元以下,四线及以下城市,B站,30分钟以内,晚上(20-23点),1,2,1,3,3,2,3,4,3,3,3,1,2,2,4,2,1,1,4,3,3,4,3,2,1,2,3,1,2,3,偶尔感觉,一般
Q0317,女,48岁以上,本科,学生,3000-6000元,三线城市,抖音,2-3小时,晚上(20-23点),3,5,3,4,3,2,4,3,3,5,4,4,4,5,4,5,4,5,3,3,3,3,4,5,4,4,5,5,4,5,很少感觉,非常满意
Q0318,女,33-37岁,本科,学生,3000元以下,一线城市,微博,2-3小时,晚上(20-23点),3,3,3,3,2,1,2,2,2,2,4,3,3,4,3,4,5,3,2,2,3,2,3,3,3,1,3,2,2,3,从不感觉,满意
Q0319,男,48岁以上,本科,个体经营者,20000元以上,三线城市,微信,30分钟以内,下午(14-18点),3,3,1,2,3,2,3,3,2,3,2,3,2,3,3,3,3,3,3,2,2,4,3,4,1,3,3,1,3,3,经常感觉,非常不满意
Q0320,女,23-27岁,本科,企业职员,3000元以下,二线城市,小红书,1-2小时,中午(12-14点),2,5,3,3,4,4,3,3,4,3,4,3,2,2,1,2,1,2,3,2,3,3,2,3,4,4,5,3,4,2,总是感觉,一般
Q0321,女,18-22岁,博士,企业职员,6000-10000元,一线城市,知乎,4小时以上,中午(12-14点),5,4,5,5,4,5,2,3,2,3,3,3,3,4,4,5,2,3,2,4,2,3,3,2,2,4,2,2,3,3,偶尔感觉,满意
Q0322,男,18-22岁,大专,企业职员,6000-10000元,二线城市,B站,30-60分钟,下午(14-18点),2,3,3,4,1,3,2,1,3,3,3,5,2,3,3,3,2,3,3,2,2,1,2,3,3,4,3,4,3,2,经常感觉,一般
Q0323,女,23-27岁,博士,其他,3000元以下,二线城市,微信,30-60分钟,晚上(20-23点),1,2,1,2,1,1,2,2,1,2,2,2,1,2,4,2,2,2,4,5,4,5,4,5,4,3,2,5,2,3,很少感觉,不满意
Q0324,女,18-22岁,本科,政府/事业单位,3000元以下,三线城市,微博,3-4小时,中午(12-14点),5,4,3,4,3,3,3,3,4,5,4,3,3,2,3,3,3,4,5,3,2,4,3,4,2,3,4,2,4,5,经常感觉,满意
Q0325,男,33-37岁,本科,学生,20000元以上,新一线城市,微信,30-60分钟,中午(12-14点),2,3,3,2,3,1,4,4,4,4,3,2,3,3,3,3,3,3,4,1,3,3,2,3,5,4,3,4,5,4,偶尔感觉,满意
Q0326,女,28-32岁,硕士,学生,6000-10000元,三线城市,抖音,4小时以上,傍晚(18-20点),3,3,3,3,4,4,3,3,3,2,3,2,3,3,4,3,1,3,2,3,5,3,4,3,2,1,3,4,1,2,偶尔感觉,一般
Q0327,男,33-37岁,高中及以下,企业职员,3000-6000元,三线城市,微博,30-60分钟,下午(14-18点),2,3,3,2,2,3,3,4,4,3,3,4,3,4,2,2,4,2,3,2,2,3,2,2,3,3,4,3,3,3,偶尔感觉,一般
Q0328,女,23-27岁,大专,自由职业者,3000-6000元,三线城市,抖音,4小时以上,晚上(20-23点),4,4,4,3,4,3,5,2,4,3,3,2,5,5,5,5,3,5,3,3,3,2,4,2,3,3,3,3,3,3,很少感觉,非常满意
Q0329,女,28-32岁,本科,政府/事业单位,无收入,一线城市,微信,1-2小时,上午(9-12点),2,2,3,4,2,1,1,1,2,3,1,3,3,2,3,4,1,4,3,1,2,3,1,3,1,2,3,3,2,1,偶尔感觉,一般
Q0330,女,28-32岁,本科,自由职业者,20000元以上,一线城市,小红书,30-60分钟,早晨(6-9点),3,3,3,1,1,2,2,3,2,3,2,2,2,3,4,4,2,4,5,4,4,3,3,4,3,3,2,3,3,3,从不感觉,一般
Q0331,男,18-22岁,硕士,学生,3000-6000元,一线城市,微信,2-3小时,晚上(20-23点),3,3,3,3,3,4,4,3,3,4,3,2,3,4,3,4,4,5,4,4,3,2,3,2,4,2,1,4,2,3,很少感觉,满意
Q0332,男,28-32岁,本科,教师/科研,10000-20000元,新一线城市,B站,30-60分钟,晚上(20-23点),2,3,4,3,4,3,3,3,3,2,3,3,5,3,3,4,4,4,4,3,4,4,2,3,4,4,3,1,2,4,很少感觉,满意
Q0333,男,23-27岁,本科,教师/科研,10000-20000元,一线城市,微信,30-60分钟,上午(9-12点),3,3,4,3,2,2,4,2,2,1,1,1,3,3,2,3,1,3,2,3,2,2,2,3,4,2,2,3,5,3,经常感觉,不满意
Q0334,男,23-27岁,硕士,企业职员,3000-6000元,三线城市,小红书,1-2小时,中午(12-14点),3,1,2,4,3,3,3,2,2,3,3,5,3,3,3,3,3,2,3,2,1,3,3,3,3,3,5,4,4,5,经常感觉,一般
Q0335,女,28-32岁,硕士,学生,无收入,三线城市,微信,30-60分钟,早晨(6-9点),1,2,1,1,4,2,3,3,4,3,3,4,1,1,2,2,3,2,4,4,3,4,5,5,1,1,1,3,2,3,经常感觉,不满意
Q0336,女,33-37岁,本科,自由职业者,3000元以下,三线城市,微信,30分钟以内,晚上(20-23点),1,3,1,1,1,1,3,3,2,2,3,3,3,2,2,3,3,3,4,2,3,4,3,4,3,3,3,3,1,2,偶尔感觉,一般
Q0337,男,18-22岁,大专,政府/事业单位,3000-6000元,一线城市,知乎,2-3小时,中午(12-14点),3,4,5,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,4,4,2,3,4,1,3,3,3,3,1,经常感觉,一般
Q0338,男,18-22岁,博士,企业职员,6000-10000元,四线及以下城市,知乎,1-2小时,晚上(20-23点),4,2,4,3,3,4,2,3,3,2,2,1,3,3,4,3,3,2,3,2,4,3,3,3,3,2,4,3,4,3,经常感觉,一般
Q0339,女,38-42岁,本科,企业职员,3000-6000元,新一线城市,抖音,4小时以上,早晨(6-9点),5,5,4,5,4,5,2,4,2,3,3,2,1,1,2,2,2,3,2,3,2,1,3,2,3,5,3,3,5,3,总是感觉,不满意
Q0340,男,33-37岁,硕士,企业职员,20000元以上,三线城市,快手,30-60分钟,晚上(20-23点),3,1,2,1,4,2,1,3,2,1,3,2,2,1,1,2,1,1,3,4,4,5,4,1,2,1,1,2,3,1,总是感觉,非常不满意
Q0341,男,23-27岁,博士,个体经营者,无收入,新一线城市,微信视频号,1-2小时,深夜(23点以后),3,3,3,1,3,3,3,2,2,4,3,2,3,4,3,3,4,3,4,4,3,5,3,3,4,4,3,3,4,4,经常感觉,满意
Q0342,男,18-22岁,硕士,政府/事业单位,3000-6000元,新一线城市,B站,30-60分钟,早晨(6-9点),2,2,1,3,2,2,1,3,3,3,2,3,2,3,3,1,3,1,4,4,5,3,3,5,3,2,1,1,2,3,偶尔感觉,不满意
Q0343,女,33-37岁,硕士,学生,6000-10000元,三线城市,抖音,2-3小时,下午(14-18点),4,2,3,2,5,5,1,4,3,5,2,2,3,2,3,2,1,3,3,2,2,4,2,1,4,3,3,3,2,1,总是感觉,一般
Q0344,男,23-27岁,硕士,个体经营者,3000元以下,四线及以下城市,抖音,3-4小时,上午(9-12点),5,3,4,2,4,5,3,3,4,3,4,4,3,1,3,4,2,1,1,3,2,4,2,2,2,3,2,3,3,2,总是感觉,一般
Q0345,女,23-27岁,本科,企业职员,6000-10000元,一线城市,抖音,1-2小时,傍晚(18-20点),3,3,3,3,3,3,4,3,2,3,3,5,3,3,3,3,3,3,3,3,1,4,3,3,3,3,2,4,4,3,经常感觉,一般
Q0346,女,28-32岁,硕士,教师/科研,20000元以上,四线及以下城市,微信,4小时以上,晚上(20-23点),5,5,5,5,4,5,5,5,5,5,4,3,3,3,5,4,4,3,1,1,1,1,2,1,4,4,4,4,3,5,偶尔感觉,非常满意
Q0347,男,33-37岁,本科,政府/事业单位,3000-6000元,二线城市,微信,4小时以上,晚上(20-23点),4,4,4,3,3,3,4,3,2,5,4,4,4,3,4,3,4,4,2,1,2,1,1,3,5,3,4,5,3,1,偶尔感觉,非常满意
Q0348,女,38-42岁,高中及以下,政府/事业单位,10000-20000元,一线城市,抖音,30-60分钟,晚上(20-23点),3,1,2,2,2,3,2,2,1,1,1,1,4,3,3,3,2,3,5,4,5,5,2,4,3,3,3,2,3,2,偶尔感觉,一般
Q0349,女,33-37岁,本科,教师/科研,无收入,一线城市,微信视频号,3-4小时,深夜(23点以后),3,4,3,4,4,3,5,5,3,5,4,4,3,5,4,3,3,2,4,3,3,3,3,3,3,2,2,3,1,2,从不感觉,满意
Q0350,女,18-22岁,本科,其他,10000-20000元,二线城市,B站,2-3小时,下午(14-18点),2,4,2,3,5,3,3,3,2,3,2,2,3,2,1,2,4,3,5,3,5,4,3,5,2,2,3,2,3,3,经常感觉,一般
Q0351,女,18-22岁,本科,企业职员,6000-10000元,一线城市,抖音,1-2小时,傍晚(18-20点),3,5,3,3,3,5,5,5,5,4,5,5,3,3,3,3,4,2,4,4,3,4,5,4,3,3,4,4,4,5,很少感觉,非常满意
Q0352,女,23-27岁,大专,教师/科研,10000-20000元,新一线城市,抖音,30分钟以内,傍晚(18-20点),3,2,2,3,1,3,3,2,2,2,3,4,3,2,3,4,1,3,5,4,4,4,4,3,3,3,2,2,2,2,很少感觉,一般
Q0353,男,28-32岁,硕士,学生,3000-6000元,三线城市,微信,1-2小时,下午(14-18点),5,3,3,3,3,2,3,3,2,2,3,3,2,2,4,2,2,3,3,4,4,4,4,4,3,3,3,3,3,4,经常感觉,一般
Q0354,女,23-27岁,本科,企业职员,20000元以上,二线城市,小红书,4小时以上,晚上(20-23点),5,5,5,4,3,5,2,3,2,3,5,2,3,4,3,4,4,4,1,2,3,2,3,3,5,5,4,5,4,5,偶尔感觉,非常满意
Q0355,女,28-32岁,硕士,企业职员,6000-10000元,三线城市,抖音,30-60分钟,下午(14-18点),3,2,3,2,2,4,3,2,3,2,1,3,3,4,2,2,3,1,3,5,3,4,3,3,4,2,3,2,2,4,偶尔感觉,不满意
Q0356,男,38-42岁,本科,企业职员,20000元以上,一线城市,微信,30分钟以内,傍晚(18-20点),3,2,3,2,1,2,3,3,5,3,4,3,3,3,3,4,4,3,3,5,2,2,3,3,4,4,3,3,4,5,很少感觉,一般
Q0357,女,43-47岁,高中及以下,其他,6000-10000元,三线城市,微信视频号,30-60分钟,晚上(20-23点),3,3,2,3,1,2,2,3,2,2,2,3,1,1,1,2,1,3,3,2,3,1,3,1,4,1,1,4,1,3,经常感觉,非常不满意
Q0358,女,18-22岁,本科,其他,3000元以下,四线及以下城市,抖音,1-2小时,上午(9-12点),4,3,3,3,1,2,3,3,4,3,3,2,3,4,5,3,3,4,3,4,2,3,3,2,3,3,3,3,2,3,很少感觉,满意
Q0359,女,43-47岁,大专,个体经营者,6000-10000元,一线城市,微信视频号,2-3小时,上午(9-12点),4,3,3,2,3,5,4,4,3,3,4,4,4,4,3,2,3,5,4,5,5,4,3,2,4,4,3,3,3,5,偶尔感觉,满意
Q0360,男,28-32岁,硕士,自由职业者,6000-10000元,新一线城市,微博,1-2小时,傍晚(18-20点),5,3,3,3,4,2,3,3,5,3,3,4,4,2,3,4,4,5,5,5,4,4,4,5,4,3,2,3,4,3,从不感觉,满意
Q0361,女,33-37岁,本科,自由职业者,3000元以下,二线城市,快手,1-2小时,傍晚(18-20点),3,3,3,2,1,1,3,5,4,3,3,3,5,3,4,5,4,4,3,3,3,3,4,4,3,4,4,4,3,4,从不感觉,非常满意
Q0362,女,38-42岁,博士,自由职业者,3000元以下,一线城市,微博,4小时以上,深夜(23点以后),4,5,4,5,3,3,3,4,4,5,3,3,4,3,3,3,3,4,4,5,5,3,5,4,2,2,1,3,1,3,总是感觉,一般
Q0363,男,28-32岁,博士,学生,6000-10000元,三线城市,微信,2-3小时,深夜(23点以后),3,3,3,3,3,3,2,3,2,1,2,1,2,3,5,5,3,2,3,3,4,4,3,5,4,3,3,2,2,4,偶尔感觉,一般
Q0364,男,33-37岁,大专,学生,10000-20000元,二线城市,抖音,1-2小时,深夜(23点以后),3,2,4,3,5,3,2,2,3,2,3,3,3,1,3,3,3,3,4,1,4,1,4,3,2,3,2,2,2,2,偶尔感觉,一般
Q0365,女,18-22岁,本科,其他,10000-20000元,新一线城市,B站,1-2小时,晚上(20-23点),4,3,3,4,2,3,1,4,3,3,5,3,3,5,4,3,3,4,2,2,3,2,3,3,3,5,2,4,1,3,从不感觉,满意
Q0366,女,23-27岁,本科,企业职员,3000-6000元,三线城市,抖音,30分钟以内,晚上(20-23点),2,3,1,2,1,2,2,3,3,3,3,3,2,2,3,2,3,3,3,4,3,3,3,3,3,2,3,3,4,1,从不感觉,一般
Q0367,女,23-27岁,本科,教师/科研,10000-20000元,新一线城市,小红书,4小时以上,晚上(20-23点),5,5,5,5,5,5,3,4,4,3,1,3,4,4,3,3,4,5,2,2,3,4,3,2,4,3,1,4,3,1,偶尔感觉,满意
Q0368,女,23-27岁,本科,教师/科研,20000元以上,一线城市,微信,30-60分钟,晚上(20-23点),2,3,3,3,3,2,3,4,3,2,3,3,1,1,1,3,3,3,5,2,4,3,3,3,1,1,1,2,1,3,总是感觉,非常不满意
Q0369,女,43-47岁,博士,企业职员,6000-10000元,四线及以下城市,微信视频号,1-2小时,晚上(20-23点),1,3,4,2,2,3,1,1,1,1,2,3,2,3,5,4,4,3,4,4,5,5,3,5,2,1,2,3,4,3,经常感觉,一般
Q0370,女,43-47岁,本科,企业职员,6000-10000元,四线及以下城市,微信,4小时以上,傍晚(18-20点),4,4,3,3,3,5,3,4,2,4,3,3,3,4,3,3,3,3,4,3,3,4,3,4,1,3,2,2,3,2,总是感觉,一般
Q0371,女,23-27岁,本科,学生,3000-6000元,三线城市,抖音,2-3小时,中午(12-14点),3,4,3,4,3,3,3,3,4,3,3,3,3,4,3,2,3,3,2,1,3,3,3,3,2,1,2,1,1,3,很少感觉,一般
Q0372,男,18-22岁,本科,企业职员,无收入,三线城市,抖音,3-4小时,傍晚(18-20点),4,4,4,4,3,4,5,5,3,3,4,5,4,4,4,5,3,4,4,3,3,3,4,3,4,5,5,3,4,4,偶尔感觉,满意
Q0373,女,18-22岁,大专,自由职业者,10000-20000元,新一线城市,B站,30分钟以内,晚上(20-23点),2,1,3,3,2,2,4,2,3,4,3,2,3,2,3,4,3,5,3,3,4,5,5,3,1,1,3,3,3,1,从不感觉,一般
Q0374,男,23-27岁,硕士,自由职业者,无收入,二线城市,知乎,3-4小时,下午(14-18点),2,3,5,3,4,3,2,3,2,2,4,1,4,5,4,4,3,3,5,4,4,5,3,3,3,5,4,5,2,4,偶尔感觉,满意
Q0375,男,23-27岁,大专,自由职业者,3000-6000元,二线城市,微博,30-60分钟,中午(12-14点),3,2,2,2,3,2,3,3,2,1,3,4,2,3,3,3,3,4,2,4,2,3,3,1,2,2,5,2,3,2,从不感觉,一般
Q0376,女,18-22岁,本科,政府/事业单位,3000-6000元,一线城市,微信视频号,4小时以上,晚上(20-23点),5,4,4,5,5,5,4,5,3,3,5,3,3,3,4,3,4,3,3,2,3,2,3,3,1,4,3,2,3,3,总是感觉,满意
Q0377,男,23-27岁,本科,学生,10000-20000元,四线及以下城市,B站,1-2小时,早晨(6-9点),3,2,5,3,5,2,3,4,3,3,5,4,2,1,1,3,3,1,4,3,3,2,3,3,2,2,3,2,3,2,经常感觉,一般
Q0378,女,33-37岁,本科,企业职员,6000-10000元,一线城市,小红书,3-4小时,上午(9-12点),4,4,5,3,4,4,3,2,2,3,3,3,3,3,3,4,4,5,3,2,3,1,2,2,3,1,1,3,3,2,偶尔感觉,一般
